"gene" "pval" "padj" "logfc" "method"
"Gng5" "Gng5" 3.01099695809452e-12 2.16008921773701e-08 -0.16560582121938 "seurat"
"Selk" "Selk" 3.1192411481013e-12 2.23774359964788e-08 0.21331249429927 "seurat"
"Anp32b" "Anp32b" 3.85650738909461e-12 2.76665840093647e-08 -0.243897816994064 "seurat"
"Agl" "Agl" 4.29938861901433e-12 3.08438139528088e-08 0.364740191197541 "seurat"
"Dpysl5" "Dpysl5" 4.53576752814489e-12 3.25395962469115e-08 -0.212898284754068 "seurat"
"Hmgn5" "Hmgn5" 4.82053172464707e-12 3.45824945926181e-08 -0.209658561725707 "seurat"
"BC029214" "BC029214" 5.47568413442551e-12 3.92825579803686e-08 -0.200496069131285 "seurat"
"Ube2v2" "Ube2v2" 5.93160032957185e-12 4.25533007643484e-08 0.299682324464645 "seurat"
"Atp5e" "Atp5e" 6.65490863000783e-12 4.77423145116762e-08 -0.102201923055784 "seurat"
"Fgf13" "Fgf13" 7.75397273816033e-12 5.56270004235622e-08 0.296331350614412 "seurat"
"Qk" "Qk" 8.37174127276256e-12 6.00588718907986e-08 -0.213514493310946 "seurat"
"Pfn2" "Pfn2" 9.34262318117383e-12 6.7023978701741e-08 0.179274911678702 "seurat"
"Ubl5" "Ubl5" 1.14752755335057e-11 8.232362667737e-08 -0.121722896983048 "seurat"
"Bod1l" "Bod1l" 2.2152970388981e-11 1.5892540957055e-07 -0.209656871219145 "seurat"
"Wdfy1" "Wdfy1" 2.24835367893018e-11 1.61296892926451e-07 -0.19339962207749 "seurat"
"Map1b" "Map1b" 2.30990545382718e-11 1.65712617257562e-07 -0.146215035141544 "seurat"
"Ifitm3" "Ifitm3" 2.73257487867077e-11 1.96034921795841e-07 -0.151758141980657 "seurat"
"Meg3" "Meg3" 2.88382937920965e-11 2.06885919664501e-07 -0.218583098174745 "seurat"
"Pbx1" "Pbx1" 3.35733177513817e-11 2.40854981548412e-07 -0.193189323830247 "seurat"
"Polr1d" "Polr1d" 3.38584410143843e-11 2.42900455837193e-07 -0.188415059426258 "seurat"
"Arpc5" "Arpc5" 3.428548954086e-11 2.4596410196613e-07 0.243967510217632 "seurat"
"Tubb5" "Tubb5" 3.50935650320359e-11 2.51761235539825e-07 -0.1030320925843 "seurat"
"Nav1" "Nav1" 3.53917876034619e-11 2.53900684267235e-07 -0.221077390294746 "seurat"
"Srrm2" "Srrm2" 4.02119938719835e-11 2.8848084403761e-07 -0.216983990867272 "seurat"
"Atp1a2" "Atp1a2" 4.81628930455963e-11 3.45520594709108e-07 -0.204931187219293 "seurat"
"Apc2" "Apc2" 4.82696549319074e-11 3.46286504481503e-07 -0.20118957515807 "seurat"
"Ndufa4" "Ndufa4" 4.8915727910092e-11 3.50921432027e-07 0.0914609436800613 "seurat"
"Eif2s2" "Eif2s2" 5.41095358627763e-11 3.88181810279557e-07 -0.162109194628381 "seurat"
"Snap25" "Snap25" 6.63890276918537e-11 4.76274884661358e-07 0.277208772876768 "seurat"
"Apc" "Apc" 7.47242499244775e-11 5.36071768958202e-07 -0.180208803478454 "seurat"
"Ssr4" "Ssr4" 8.13740273998878e-11 5.83777272566795e-07 -0.199851136008629 "seurat"
"Prdx2" "Prdx2" 8.69040528067965e-11 6.23449674835958e-07 -0.139445692125372 "seurat"
"Atxn7l3b" "Atxn7l3b" 9.81521749797357e-11 7.04143703304624e-07 -0.137862769166057 "seurat"
"Eef2" "Eef2" 9.88153857021611e-11 7.08901577027304e-07 -0.167730661594919 "seurat"
"Srsf11" "Srsf11" 9.98708229340721e-11 7.16473283729034e-07 -0.207276401799321 "seurat"
"Ctsl" "Ctsl" 1.20656047221162e-10 8.65586482764617e-07 -0.220502456990523 "seurat"
"Kdm5b" "Kdm5b" 1.26252267503593e-10 9.05733767070774e-07 -0.166962451848032 "seurat"
"Jund" "Jund" 1.34784184388199e-10 9.6694173880094e-07 0.216769204752995 "seurat"
"Epb41l4aos" "Epb41l4aos" 1.49610744255722e-10 1.07330747929055e-06 -0.201487978777032 "seurat"
"Srpk2" "Srpk2" 1.55613609147893e-10 1.11637203202698e-06 -0.203324740569798 "seurat"
"Hist3h2ba" "Hist3h2ba" 1.68278059003425e-10 1.20722679529057e-06 -0.163573524183918 "seurat"
"Cald1" "Cald1" 1.76571711057274e-10 1.26672545512488e-06 -0.147712444569334 "seurat"
"Rheb" "Rheb" 2.04045298904492e-10 1.46382097434083e-06 0.25568538963419 "seurat"
"Arl8a" "Arl8a" 2.11033095890481e-10 1.51395142991831e-06 0.234282139799753 "seurat"
"Uba52" "Uba52" 2.1207889428978e-10 1.52145398763488e-06 -0.128504016512412 "seurat"
"Dctpp1" "Dctpp1" 2.1242496590697e-10 1.52393670541661e-06 -0.167780447178814 "seurat"
"Crlf1" "Crlf1" 2.28861402932128e-10 1.64185170463508e-06 -0.185809917038896 "seurat"
"Mphosph8" "Mphosph8" 2.39318101951939e-10 1.71686806340321e-06 -0.20009677576415 "seurat"
"Pin4" "Pin4" 2.52497646463563e-10 1.8114181157296e-06 -0.173087510392434 "seurat"
"Ramp2" "Ramp2" 2.59150697408179e-10 1.85914710320627e-06 -0.17823974935716 "seurat"
"Tiam2" "Tiam2" 2.7703861880187e-10 1.98747505128462e-06 -0.137142800851534 "seurat"
"Camk2n1" "Camk2n1" 2.77869333955371e-10 1.99343460179583e-06 -0.132292986593739 "seurat"
"Cdk4" "Cdk4" 2.838404003982e-10 2.03627103245668e-06 -0.21653041390003 "seurat"
"2010107E04Rik" "2010107E04Rik" 2.93775198102518e-10 2.10754327118746e-06 -0.0912541822325195 "seurat"
"Cd81" "Cd81" 3.22961040421439e-10 2.3169225039834e-06 0.228287931488727 "seurat"
"Pdap1" "Pdap1" 3.26338072976277e-10 2.34114933553181e-06 -0.170953063641184 "seurat"
"Eif3f" "Eif3f" 3.67460709342855e-10 2.63616312882564e-06 -0.156758741624314 "seurat"
"Glul" "Glul" 4.11174883335865e-10 2.94976861305149e-06 0.213007629771261 "seurat"
"Mal2" "Mal2" 4.2676279488166e-10 3.06159629048103e-06 0.260283059207981 "seurat"
"Kifc2" "Kifc2" 4.71174626996926e-10 3.38020677407595e-06 0.302143449814904 "seurat"
"Smc3" "Smc3" 4.8345926208835e-10 3.46833674622183e-06 -0.174896265791675 "seurat"
"Sms" "Sms" 5.33073737689543e-10 3.82427099418478e-06 -0.182952959521498 "seurat"
"Gon4l" "Gon4l" 5.39219314442632e-10 3.86835936181144e-06 -0.164215581101921 "seurat"
"Usp34" "Usp34" 6.25949626663185e-10 4.49056262168169e-06 -0.209571779200352 "seurat"
"Ndn" "Ndn" 8.36702783712488e-10 6.00250577035339e-06 -0.16625765081747 "seurat"
"Rlbp1" "Rlbp1" 8.58407730158061e-10 6.15821705615393e-06 -0.16754707839657 "seurat"
"2810417H13Rik" "2810417H13Rik" 9.6786210359495e-10 6.94344273119017e-06 -0.16573145898609 "seurat"
"Hist1h2bc" "Hist1h2bc" 9.75904541467135e-10 7.00113918048522e-06 0.30224480547773 "seurat"
"Myt1l" "Myt1l" 1.16932153979349e-09 8.38871272647853e-06 -0.184448711770424 "seurat"
"Psme1" "Psme1" 1.27439326939487e-09 9.1424973146388e-06 -0.177623790466349 "seurat"
"Psmg4" "Psmg4" 1.38293457120749e-09 9.92117261384251e-06 -0.206072690552829 "seurat"
"Dnajb6" "Dnajb6" 1.44258786114877e-09 1.03491253158813e-05 0.247398214253321 "seurat"
"Taf10" "Taf10" 1.47752151041203e-09 1.05997393156959e-05 -0.187315101474321 "seurat"
"Mpped1" "Mpped1" 1.60295073166214e-09 1.14995685489442e-05 0.270151738501584 "seurat"
"Gabarap" "Gabarap" 1.87617577788837e-09 1.34596850305712e-05 -0.146971486852906 "seurat"
"Hprt" "Hprt" 1.99286376854193e-09 1.42968046755198e-05 0.298268903902335 "seurat"
"Gpx1" "Gpx1" 2.19798169820364e-09 1.57683207029129e-05 -0.161369802957351 "seurat"
"Actb" "Actb" 2.33769471406127e-09 1.67706218786756e-05 0.175712263849117 "seurat"
"Zwint" "Zwint" 2.44038095579794e-09 1.75072929768944e-05 0.237818880327077 "seurat"
"N4bp2l2" "N4bp2l2" 2.45496260690903e-09 1.76119017419654e-05 -0.194664149981533 "seurat"
"Bend6" "Bend6" 2.63365589055684e-09 1.88938473588548e-05 0.283230771475935 "seurat"
"Ube2r2" "Ube2r2" 2.87318412021583e-09 2.06122228784284e-05 -0.180302515324732 "seurat"
"Pgls" "Pgls" 3.06237010202244e-09 2.1969443111909e-05 -0.144379914767498 "seurat"
"Fam133b" "Fam133b" 3.16116349965062e-09 2.26781869464936e-05 -0.174620149268777 "seurat"
"Zbtb20" "Zbtb20" 3.16256452079899e-09 2.26882378722119e-05 -0.175800203237999 "seurat"
"Rab18" "Rab18" 3.25014559208198e-09 2.33165444775961e-05 0.283248324147811 "seurat"
"Itm2a" "Itm2a" 3.50787734518882e-09 2.51655120743846e-05 -0.167795278261308 "seurat"
"Gatm" "Gatm" 3.75592344152408e-09 2.69449947694938e-05 0.262670292237422 "seurat"
"Erdr1" "Erdr1" 3.92508294424421e-09 2.81585450420079e-05 -0.200901061643892 "seurat"
"Yaf2" "Yaf2" 4.34474899874911e-09 3.11692293170261e-05 0.28253489798858 "seurat"
"Rsrc2" "Rsrc2" 4.36791899671157e-09 3.13354508824088e-05 -0.188137868988884 "seurat"
"Agap2" "Agap2" 4.7699510202241e-09 3.42196286190877e-05 0.247564226649255 "seurat"
"Odc1" "Odc1" 4.89035876344779e-09 3.50834337689744e-05 -0.164216515174797 "seurat"
"Clta" "Clta" 5.10960311555736e-09 3.66562927510085e-05 -0.160220770773951 "seurat"
"Ccdc88a" "Ccdc88a" 5.58138904799164e-09 4.00408850302921e-05 -0.17744782374347 "seurat"
"Tpm3-rs7" "Tpm3-rs7" 5.7158686079256e-09 4.10056413932583e-05 -0.142730444924129 "seurat"
"Gkap1" "Gkap1" 5.95391003125934e-09 4.27133505642545e-05 -0.161738994057944 "seurat"
"Tpr" "Tpr" 6.81721543047699e-09 4.89067034982419e-05 -0.224256722644907 "seurat"
"Pfn1" "Pfn1" 7.05840603786755e-09 5.06370049156618e-05 0.12208389993766 "seurat"
