"gene" "pval" "padj" "logfc" "method"
"Pcsk1n" "Pcsk1n" 9.6775509197933e-17 6.94267502985972e-13 -0.0674732201071797 "seurat"
"Anp32b" "Anp32b" 1.29719428588658e-16 9.30607180695033e-13 -0.243897816994064 "seurat"
"Wbp5" "Wbp5" 1.39939360338121e-16 1.00392497106568e-12 -0.204712269018581 "seurat"
"Olig1" "Olig1" 4.1879101854634e-16 3.00440676705144e-12 -0.21227445346929 "seurat"
"Polr1d" "Polr1d" 6.78946492903097e-16 4.87076214008682e-12 -0.188415059426258 "seurat"
"Vamp2" "Vamp2" 1.14143853027247e-15 8.18868001617472e-12 0.271860106944428 "seurat"
"Ccdc34" "Ccdc34" 1.64384785681932e-15 1.17929645248218e-11 -0.237078855283645 "seurat"
"Atp6v1g1" "Atp6v1g1" 2.31055821550127e-15 1.65759446380061e-11 0.304744073212322 "seurat"
"Cdk4" "Cdk4" 2.58979133911164e-15 1.85791630667869e-11 -0.21653041390003 "seurat"
"Qk" "Qk" 4.09981948939051e-15 2.94121050168875e-11 -0.213514493310946 "seurat"
"Psmg4" "Psmg4" 4.36853849553313e-15 3.13398951669546e-11 -0.206072690552829 "seurat"
"Nenf" "Nenf" 4.7072961506383e-15 3.37701425846792e-11 -0.140913663514426 "seurat"
"Clta" "Clta" 4.80733571127165e-15 3.44878263926629e-11 -0.160220770773951 "seurat"
"Fis1" "Fis1" 5.95159685569558e-15 4.26967558427601e-11 -0.132014749625788 "seurat"
"Psma7" "Psma7" 7.00590934556661e-15 5.02603936450949e-11 -0.100366343346206 "seurat"
"Arpp21" "Arpp21" 7.12594992165815e-15 5.11215647379755e-11 -0.241444523176637 "seurat"
"Gas7" "Gas7" 9.08072963472125e-15 6.51451543994902e-11 0.376258727982701 "seurat"
"Ndn" "Ndn" 9.55903452201527e-15 6.85765136609375e-11 -0.16625765081747 "seurat"
"Ttc3" "Ttc3" 1.15075976777719e-14 8.25555057403353e-11 -0.144405450188988 "seurat"
"Taf10" "Taf10" 1.59710235219394e-14 1.14576122746393e-10 -0.187315101474321 "seurat"
"Meaf6" "Meaf6" 1.67078318530296e-14 1.19861985713634e-10 -0.222378712899938 "seurat"
"Sox4" "Sox4" 1.81447308001045e-14 1.30170298759949e-10 -0.15347268167387 "seurat"
"Ap3s1" "Ap3s1" 1.89938926644136e-14 1.36262185974503e-10 0.309040884182882 "seurat"
"Ywhaq" "Ywhaq" 2.25410413086072e-14 1.61709430347948e-10 0.292355425826006 "seurat"
"Sncb" "Sncb" 2.7205832030753e-14 1.95174638988622e-10 0.29879881980478 "seurat"
"Scand1" "Scand1" 2.82612276111909e-14 2.02746046882684e-10 -0.155933724725814 "seurat"
"Kif1b" "Kif1b" 3.99817522318641e-14 2.86829090511393e-10 -0.197341676138394 "seurat"
"Ssr4" "Ssr4" 4.96220801144734e-14 3.55988802741232e-10 -0.199851136008629 "seurat"
"Mn1" "Mn1" 8.04416782275896e-14 5.77088599604728e-10 0.372116949806451 "seurat"
"Hist3h2ba" "Hist3h2ba" 8.38953162435933e-14 6.01864998731538e-10 -0.163573524183918 "seurat"
"Rgs17" "Rgs17" 9.91900649721728e-14 7.11589526110368e-10 -0.217249151057856 "seurat"
"Minos1" "Minos1" 1.12174800906619e-13 8.04742021704084e-10 -0.0941434412152717 "seurat"
"Dpysl3" "Dpysl3" 1.57405499491453e-13 1.12922705335168e-09 -0.12938154445964 "seurat"
"Pgls" "Pgls" 1.63357605376877e-13 1.17192746097372e-09 -0.144379914767498 "seurat"
"BC029214" "BC029214" 1.64857352792e-13 1.18268664892981e-09 -0.200496069131285 "seurat"
"Serf2" "Serf2" 1.7476871891253e-13 1.25379078947849e-09 -0.0507509481697568 "seurat"
"Sec61g" "Sec61g" 1.8771653021001e-13 1.34667838772661e-09 -0.0597674621297757 "seurat"
"Srrm2" "Srrm2" 4.46821432049605e-13 3.20549695352386e-09 -0.216983990867272 "seurat"
"Marcksl1" "Marcksl1" 4.72303080634984e-13 3.38830230047537e-09 0.225366106578957 "seurat"
"Srpk2" "Srpk2" 5.81138205105716e-13 4.16908548342841e-09 -0.203324740569798 "seurat"
"Nisch" "Nisch" 1.15959654164091e-12 8.31894558973189e-09 -0.232711916923873 "seurat"
"Ctsl" "Ctsl" 1.2345165715021e-12 8.85642188395607e-09 -0.220502456990523 "seurat"
"Atp1a2" "Atp1a2" 1.39849523044722e-12 1.00328047832283e-08 -0.204931187219293 "seurat"
"Dctpp1" "Dctpp1" 1.51215200868679e-12 1.0848178510319e-08 -0.167780447178814 "seurat"
"Mt1" "Mt1" 1.81679510687931e-12 1.30336880967521e-08 -0.100546791453251 "seurat"
"Gpx1" "Gpx1" 1.82671753150588e-12 1.31048715710232e-08 -0.161369802957351 "seurat"
"Chd3" "Chd3" 1.84048161859601e-12 1.32036151318078e-08 -0.141748900352081 "seurat"
"Gnb1" "Gnb1" 2.06713910064785e-12 1.48296559080476e-08 0.279061282274138 "seurat"
"Eif4a2" "Eif4a2" 2.19265750595554e-12 1.5730124947725e-08 0.320127009575478 "seurat"
"Sms" "Sms" 2.27070679055786e-12 1.62900505154621e-08 -0.182952959521498 "seurat"
"Ppdpf" "Ppdpf" 2.73739122792066e-12 1.96380446691028e-08 -0.128227894394586 "seurat"
"Hmgn5" "Hmgn5" 2.84868119713801e-12 2.04364389082681e-08 -0.209658561725707 "seurat"
"Pabpc1" "Pabpc1" 4.51094248148497e-12 3.23615013621731e-08 -0.12097612685445 "seurat"
"Dpysl5" "Dpysl5" 5.33116663487607e-12 3.82457894386009e-08 -0.212898284754068 "seurat"
"Dbi" "Dbi" 5.4524285965294e-12 3.91157227515019e-08 0.00928547258050116 "seurat"
"Cox5a" "Cox5a" 5.74214642616814e-12 4.11941584613303e-08 -0.0508468602154686 "seurat"
"Atp5g3" "Atp5g3" 6.19189868485396e-12 4.44206811651423e-08 -0.114810207313567 "seurat"
"Usp34" "Usp34" 6.19407734656604e-12 4.44363108842648e-08 -0.209571779200352 "seurat"
"Shfm1" "Shfm1" 6.292625501509e-12 4.51432953478256e-08 -0.0886075985660004 "seurat"
"Nav1" "Nav1" 6.65817087383145e-12 4.77657178488668e-08 -0.221077390294746 "seurat"
"Gnas" "Gnas" 7.10623782159451e-12 5.0980150132119e-08 -0.044895808615617 "seurat"
"Brk1" "Brk1" 7.10889162184944e-12 5.09991884951479e-08 -0.127982455919532 "seurat"
"Ptprz1" "Ptprz1" 7.56941698671104e-12 5.4302997462665e-08 -0.236089227825356 "seurat"
"2410015M20Rik" "2410015M20Rik" 7.75383916083523e-12 5.56260421398319e-08 -0.107293804399868 "seurat"
"Slc14a2" "Slc14a2" 7.87577236271238e-12 5.65007909300986e-08 -0.207575266533879 "seurat"
