"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Stmn46",1.77429851847145e-45,0.639712457025545,0.781,0.478,2.64955997763342e-41,"8","Stmn4"
"Ddx55",1.96425634497775e-45,0.495741031850571,0.719,0.356,2.93322399995528e-41,"8","Ddx5"
"Tmem50a3",3.03977319773756e-45,0.428478595891528,0.447,0.164,4.53929331618151e-41,"8","Tmem50a"
"Ttc33",5.19958490047706e-45,0.50795194054334,0.811,0.484,7.7645401318824e-41,"8","Ttc3"
"Sept3",1.29939763822112e-44,0.378916769169409,0.396,0.135,1.9403904931556e-40,"8","Sept3"
"Pdia33",3.06727041927615e-44,0.410012311572607,0.412,0.146,4.58035491710507e-40,"8","Pdia3"
"Atrx4",3.16366490758747e-44,0.373551797306263,0.429,0.153,4.72430080650037e-40,"8","Atrx"
"Dync1li1",3.27295957414269e-44,0.262832338453889,0.276,0.077,4.88751053206727e-40,"8","Dync1li1"
"Cirbp2",3.46294523657058e-44,0.539667576922587,0.703,0.371,5.17121612177085e-40,"8","Cirbp"
"Snap255",4.62591501177465e-44,0.453565218360973,0.622,0.275,6.90787888708309e-40,"8","Snap25"
"Tspyl4",4.86222302300348e-44,0.343578898069835,0.417,0.144,7.2607576402511e-40,"8","Tspyl4"
"Soga31",5.70175790321035e-44,0.306420248002165,0.359,0.116,8.51443507686401e-40,"8","Soga3"
"AI593442",5.96010883163557e-44,0.477488010846439,0.267,0.077,8.9002305182814e-40,"8","AI593442"
"Ap1s2",6.77600030024615e-44,0.478300753299454,0.251,0.07,1.01186012483576e-39,"8","Ap1s2"
"Myef23",8.5014556272917e-44,0.570843567537327,0.498,0.207,1.26952236882347e-39,"8","Myef2"
"Zfp2074",2.57683690492487e-43,0.395882483480731,0.387,0.133,3.8479905501243e-39,"8","Zfp207"
"Hspa53",3.31968486254916e-43,0.453791076423692,0.472,0.182,4.95728540524465e-39,"8","Hspa5"
"Hdgfrp31",3.53093253838239e-43,0.38401171014555,0.5,0.194,5.27274155956643e-39,"8","Hdgfrp3"
